"","Source","Target","Type","Weight"
"1",23,3,"undirected",3
"2",23,8,"undirected",14
"3",23,9,"undirected",6
"4",23,10,"undirected",2
"5",23,19,"undirected",2
"6",23,27,"undirected",5
"7",23,28,"undirected",5
"8",23,36,"undirected",2
"9",23,60,"undirected",1
"10",71,1,"undirected",1
"11",71,5,"undirected",3
"12",71,8,"undirected",2
"13",71,11,"undirected",3
"14",71,49,"undirected",1
"15",49,17,"undirected",5
"16",49,34,"undirected",5
"17",49,55,"undirected",2
"18",49,69,"undirected",4
"19",49,70,"undirected",2
"20",49,71,"undirected",1
"21",49,76,"undirected",4
"22",67,12,"undirected",5
"23",67,15,"undirected",4
"24",67,17,"undirected",1
"25",67,32,"undirected",2
"26",67,36,"undirected",1
"27",67,42,"undirected",3
"28",67,47,"undirected",1
"29",67,56,"undirected",2
"30",67,62,"undirected",1
"31",67,74,"undirected",2
"32",67,77,"undirected",1
"33",2,3,"undirected",2
"34",2,11,"undirected",3
"35",2,12,"undirected",5
"36",2,14,"undirected",6
"37",2,19,"undirected",4
"38",2,22,"undirected",1
"39",2,23,"undirected",3
"40",2,32,"undirected",3
"41",2,34,"undirected",1
"42",2,37,"undirected",1
"43",2,56,"undirected",1
"44",2,71,"undirected",1
"45",28,8,"undirected",3
"46",28,11,"undirected",1
"47",28,16,"undirected",2
"48",28,17,"undirected",1
"49",28,19,"undirected",1
"50",28,22,"undirected",3
"51",28,27,"undirected",2
"52",28,29,"undirected",3
"53",28,35,"undirected",3
"54",28,41,"undirected",1
"55",28,44,"undirected",3
"56",28,45,"undirected",2
"57",28,48,"undirected",1
"58",28,55,"undirected",4
"59",28,60,"undirected",5
"60",28,70,"undirected",6
"61",64,8,"undirected",3
"62",64,15,"undirected",1
"63",64,17,"undirected",2
"64",64,19,"undirected",14
"65",64,22,"undirected",2
"66",64,24,"undirected",1
"67",64,35,"undirected",1
"68",64,52,"undirected",20
"69",64,54,"undirected",1
"70",64,56,"undirected",1
"71",64,58,"undirected",2
"72",64,62,"undirected",2
"73",64,66,"undirected",2
"74",43,2,"undirected",1
"75",43,13,"undirected",2
"76",43,14,"undirected",2
"77",43,16,"undirected",1
"78",43,21,"undirected",5
"79",43,29,"undirected",8
"80",43,35,"undirected",2
"81",43,40,"undirected",2
"82",43,41,"undirected",5
"83",43,53,"undirected",2
"84",43,55,"undirected",1
"85",43,58,"undirected",1
"86",43,60,"undirected",3
"87",43,66,"undirected",1
"88",43,69,"undirected",3
"89",43,70,"undirected",1
"90",73,3,"undirected",2
"91",73,12,"undirected",2
"92",73,15,"undirected",3
"93",73,22,"undirected",4
"94",73,52,"undirected",1
"95",73,63,"undirected",3
"96",32,1,"undirected",14
"97",32,11,"undirected",2
"98",32,12,"undirected",2
"99",32,19,"undirected",2
"100",32,22,"undirected",1
"101",32,48,"undirected",2
"102",32,62,"undirected",1
"103",32,67,"undirected",2
"104",32,71,"undirected",2
"105",32,78,"undirected",3
"106",10,1,"undirected",1
"107",10,2,"undirected",4
"108",10,5,"undirected",3
"109",10,7,"undirected",4
"110",10,8,"undirected",13
"111",10,9,"undirected",2
"112",10,11,"undirected",13
"113",10,12,"undirected",3
"114",10,13,"undirected",4
"115",10,15,"undirected",1
"116",10,16,"undirected",3
"117",10,17,"undirected",7
"118",10,19,"undirected",3
"119",10,21,"undirected",4
"120",10,24,"undirected",3
"121",10,28,"undirected",1
"122",10,30,"undirected",1
"123",10,35,"undirected",1
"124",10,36,"undirected",3
"125",10,40,"undirected",59
"126",10,41,"undirected",5
"127",10,42,"undirected",1
"128",10,43,"undirected",1
"129",10,44,"undirected",1
"130",10,54,"undirected",2
"131",10,60,"undirected",4
"132",10,62,"undirected",1
"133",10,66,"undirected",1
"134",10,72,"undirected",3
"135",10,77,"undirected",2
"136",10,78,"undirected",1
"137",60,8,"undirected",7
"138",60,9,"undirected",4
"139",60,11,"undirected",2
"140",60,16,"undirected",2
"141",60,19,"undirected",2
"142",60,22,"undirected",1
"143",60,28,"undirected",5
"144",60,40,"undirected",9
"145",60,43,"undirected",3
"146",60,55,"undirected",2
"147",60,70,"undirected",11
"148",60,77,"undirected",1
"149",48,5,"undirected",2
"150",48,8,"undirected",2
"151",48,12,"undirected",3
"152",48,13,"undirected",1
"153",48,28,"undirected",1
"154",48,32,"undirected",2
"155",48,47,"undirected",3
"156",48,54,"undirected",4
"157",48,55,"undirected",1
"158",48,66,"undirected",1
"159",48,76,"undirected",1
"160",24,1,"undirected",3
"161",24,5,"undirected",13
"162",24,10,"undirected",3
"163",24,11,"undirected",9
"164",24,12,"undirected",10
"165",24,13,"undirected",9
"166",24,15,"undirected",25
"167",24,17,"undirected",8
"168",24,19,"undirected",5
"169",24,22,"undirected",2
"170",24,25,"undirected",5
"171",24,29,"undirected",2
"172",24,42,"undirected",2
"173",24,52,"undirected",5
"174",24,54,"undirected",2
"175",24,56,"undirected",5
"176",24,61,"undirected",1
"177",24,67,"undirected",2
"178",24,69,"undirected",1
"179",24,76,"undirected",5
"180",13,6,"undirected",2
"181",13,8,"undirected",6
"182",13,11,"undirected",7
"183",13,15,"undirected",2
"184",13,16,"undirected",1
"185",13,17,"undirected",6
"186",13,21,"undirected",1
"187",13,22,"undirected",4
"188",13,25,"undirected",3
"189",13,27,"undirected",5
"190",13,28,"undirected",4
"191",13,36,"undirected",1
"192",13,40,"undirected",9
"193",13,43,"undirected",2
"194",13,45,"undirected",3
"195",13,46,"undirected",2
"196",13,48,"undirected",1
"197",13,51,"undirected",6
"198",13,53,"undirected",5
"199",13,56,"undirected",2
"200",13,66,"undirected",3
"201",13,67,"undirected",2
"202",13,70,"undirected",3
"203",13,73,"undirected",5
"204",13,78,"undirected",3
"205",50,65,"undirected",1
"206",31,46,"undirected",2
"207",46,5,"undirected",4
"208",46,8,"undirected",3
"209",46,31,"undirected",2
"210",46,51,"undirected",1
"211",46,67,"undirected",3
"212",46,78,"undirected",1
"213",8,1,"undirected",1
"214",8,5,"undirected",10
"215",8,6,"undirected",5
"216",8,7,"undirected",2
"217",8,9,"undirected",8
"218",8,11,"undirected",1
"219",8,13,"undirected",6
"220",8,17,"undirected",2
"221",8,21,"undirected",6
"222",8,27,"undirected",2
"223",8,28,"undirected",3
"224",8,36,"undirected",1
"225",8,41,"undirected",10
"226",8,43,"undirected",2
"227",8,44,"undirected",2
"228",8,45,"undirected",2
"229",8,51,"undirected",2
"230",8,54,"undirected",1
"231",8,66,"undirected",3
"232",8,70,"undirected",6
"233",8,74,"undirected",1
"234",8,76,"undirected",2
"235",17,14,"undirected",6
"236",17,16,"undirected",1
"237",17,19,"undirected",11
"238",17,28,"undirected",1
"239",17,40,"undirected",1
"240",17,47,"undirected",1
"241",3,2,"undirected",2
"242",3,4,"undirected",1
"243",3,5,"undirected",1
"244",3,6,"undirected",2
"245",3,8,"undirected",4
"246",3,12,"undirected",4
"247",3,14,"undirected",1
"248",3,37,"undirected",1
"249",3,56,"undirected",2
"250",62,2,"undirected",1
"251",62,5,"undirected",2
"252",62,10,"undirected",1
"253",62,11,"undirected",4
"254",62,14,"undirected",2
"255",62,21,"undirected",3
"256",62,24,"undirected",1
"257",62,29,"undirected",1
"258",62,40,"undirected",1
"259",62,47,"undirected",1
"260",62,54,"undirected",1
"261",62,65,"undirected",3
"262",62,67,"undirected",1
"263",62,79,"undirected",2
"264",74,8,"undirected",1
"265",74,12,"undirected",2
"266",74,17,"undirected",4
"267",74,22,"undirected",3
"268",74,40,"undirected",1
"269",74,43,"undirected",9
"270",74,46,"undirected",11
"271",74,53,"undirected",3
"272",74,56,"undirected",3
"273",74,67,"undirected",2
"274",74,70,"undirected",1
"275",74,78,"undirected",1
