Source;Target;Type;Weight
23;2;undirected;2
23;3;undirected;3
23;7;undirected;4
23;8;undirected;14
23;9;undirected;6
23;10;undirected;2
23;19;undirected;2
23;27;undirected;5
23;28;undirected;5
23;36;undirected;2
23;60;undirected;1
71;1;undirected;1
71;5;undirected;3
71;8;undirected;2
71;11;undirected;3
71;26;undirected;1
71;32;undirected;1
71;49;undirected;1
49;17;undirected;5
49;34;undirected;5
49;55;undirected;2
49;69;undirected;4
49;70;undirected;2
49;71;undirected;1
49;76;undirected;4
67;12;undirected;5
67;13;undirected;1
67;15;undirected;4
67;17;undirected;1
67;22;undirected;4
67;24;undirected;1
67;32;undirected;2
67;36;undirected;1
67;42;undirected;3
67;47;undirected;1
67;53;undirected;2
67;56;undirected;2
67;62;undirected;1
67;74;undirected;2
67;77;undirected;1
2;1;undirected;6
2;3;undirected;2
2;5;undirected;8
2;10;undirected;2
2;11;undirected;3
2;12;undirected;5
2;14;undirected;6
2;19;undirected;4
2;22;undirected;1
2;23;undirected;3
2;26;undirected;5
2;27;undirected;3
2;32;undirected;3
2;34;undirected;1
2;37;undirected;1
2;39;undirected;6
2;55;undirected;15
2;56;undirected;1
2;71;undirected;1
28;5;undirected;2
28;7;undirected;1
28;8;undirected;3
28;9;undirected;15
28;11;undirected;1
28;13;undirected;2
28;16;undirected;2
28;17;undirected;1
28;19;undirected;1
28;22;undirected;3
28;27;undirected;2
28;29;undirected;3
28;35;undirected;3
28;41;undirected;1
28;44;undirected;3
28;45;undirected;2
28;47;undirected;2
28;48;undirected;1
28;55;undirected;4
28;60;undirected;5
28;70;undirected;6
64;8;undirected;3
64;15;undirected;1
64;17;undirected;2
64;19;undirected;14
64;22;undirected;2
64;24;undirected;1
64;35;undirected;1
64;52;undirected;20
64;54;undirected;1
64;56;undirected;1
64;58;undirected;2
64;62;undirected;2
64;66;undirected;2
43;2;undirected;1
43;4;undirected;3
43;6;undirected;13
43;8;undirected;1
43;11;undirected;4
43;13;undirected;2
43;14;undirected;2
43;16;undirected;1
43;21;undirected;5
43;29;undirected;8
43;35;undirected;2
43;40;undirected;2
43;41;undirected;5
43;53;undirected;2
43;55;undirected;1
43;58;undirected;1
43;60;undirected;3
43;66;undirected;1
43;68;undirected;2
43;69;undirected;3
43;70;undirected;1
43;74;undirected;6
73;3;undirected;2
73;12;undirected;2
73;13;undirected;2
73;15;undirected;3
73;22;undirected;4
73;52;undirected;1
73;63;undirected;3
73;75;undirected;1
32;1;undirected;14
32;2;undirected;2
32;5;undirected;3
32;11;undirected;2
32;12;undirected;2
32;19;undirected;2
32;22;undirected;1
32;48;undirected;2
32;56;undirected;1
32;62;undirected;1
32;67;undirected;2
32;71;undirected;2
32;78;undirected;3
10;1;undirected;1
10;2;undirected;4
10;4;undirected;2
10;5;undirected;3
10;7;undirected;4
10;8;undirected;13
10;9;undirected;2
10;11;undirected;13
10;12;undirected;3
10;13;undirected;4
10;14;undirected;1
10;15;undirected;1
10;16;undirected;3
10;17;undirected;7
10;19;undirected;3
10;21;undirected;4
10;23;undirected;1
10;24;undirected;3
10;25;undirected;1
10;28;undirected;1
10;30;undirected;1
10;35;undirected;1
10;36;undirected;3
10;40;undirected;59
10;41;undirected;5
10;42;undirected;1
10;43;undirected;1
10;44;undirected;1
10;51;undirected;1
10;54;undirected;2
10;60;undirected;4
